Epoch,Distributed Loss,Centralized Loss,Distributed Train Loss,Distributed Train Accuracy,Distributed Test Accuracy,Centralized Test Accuracy,Fit Runtime (s),Evaluate Runtime (s),Optimizer,Learning Rate,Batch Size,Clients,Sampled Clients Per Round,Evaluate Clients Per Round,LDA Alpha,BackPack Extension,Task,Model,Date
19,0.04991417510150853,0.05000047642542049,0.11571660813610855,0.8333488762473188,0.8627118644067797,0.8551,6.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
20,0.0565265431479251,0.04965356988422573,0.11174507535850345,0.8431116500326462,0.8542372881355932,0.8589,6.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
21,0.053856800090900415,0.04967126311212778,0.11122933307465925,0.8432835820895522,0.8525423728813559,0.8584,7.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
22,0.05317466597120136,0.049591676965169605,0.10811041441094862,0.8475097929490767,0.8567796610169491,0.8584,6.0,1.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
23,0.05445393200458611,0.04955053918156773,0.11340344010010632,0.8419333768778576,0.8567796610169491,0.8604,6.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
24,0.0528301113742893,0.04888040569806471,0.11305043611971759,0.8393356969583877,0.8576271186440678,0.8613,6.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
25,0.050310667131443394,0.048685479862522335,0.11039601265742911,0.8458092215792421,0.8686440677966102,0.8637,6.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
26,0.059386575302519534,0.04916256044972688,0.10890684263627406,0.8498927138725627,0.8338983050847457,0.8597,6.0,1.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
27,0.054976111304772604,0.048464884369447826,0.10538548916908616,0.8522801454816749,0.8457627118644068,0.8612,6.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
28,0.05117219190776222,0.04864542080992833,0.10674964247790747,0.8444382232176185,0.8601694915254238,0.8607,7.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
29,0.052747205234432624,0.04749913375731558,0.10657358556007682,0.8492818504010445,0.8533898305084746,0.8648,6.0,1.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
30,0.04984211198890866,0.04736904136841186,0.10772573160238434,0.8514786827129397,0.8601694915254238,0.8641,6.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
31,0.05032558814796098,0.04699309003716335,0.1077673223559168,0.8465341916223529,0.8711864406779661,0.8645,6.0,1.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
32,0.04889456501104317,0.04742811807822436,0.10526943450156385,0.8514786827129397,0.8694915254237288,0.8653,6.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
33,0.05189455010754577,0.04717062328895554,0.1040457070342227,0.8508256367198432,0.8677966101694915,0.8648,6.0,1.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
34,0.05225151356278082,0.04757371600465849,0.10441471872604799,0.8528615442068901,0.8703389830508474,0.8628,6.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
35,0.04955958497742096,0.04649925423865207,0.10126609886690202,0.8571028821938252,0.8737288135593221,0.866,6.0,1.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
36,0.046918430998605695,0.04678883553957566,0.10606838612654755,0.8500279798545047,0.8830508474576271,0.8686,6.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
37,0.04689726953363141,0.04627341150408611,0.10450856606146829,0.8563030698889614,0.8762711864406779,0.868,6.0,1.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
38,0.05013491374803549,0.04621933510098606,0.10587413065122286,0.8482217866143937,0.8703389830508474,0.87,6.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
39,0.045615631779971515,0.046114526925468816,0.1011510731087784,0.8613676648941132,0.8779661016949153,0.8688,6.0,1.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
40,0.048223637818295695,0.04584951827423647,0.10279066715297944,0.8571162096623764,0.8830508474576271,0.8702,6.0,1.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
41,0.04865281926389089,0.04587027258332819,0.1023036535105447,0.8555161470972559,0.8694915254237288,0.8689,6.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
42,0.04901556696237649,0.04639831084106118,0.10193796667635445,0.8552901660757604,0.8830508474576271,0.8682,7.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
43,0.0484750739440827,0.045807715245941655,0.10181638837702328,0.853478828576758,0.8762711864406779,0.871,6.0,1.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
44,0.05024716421267239,0.046009401147719474,0.10087195400873873,0.8566097583729826,0.8593220338983051,0.8657,6.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
45,0.049692839451165774,0.045069676346192133,0.09877607762358401,0.8609117180945278,0.8737288135593221,0.8709,7.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
46,0.049628839918838465,0.045397450494067744,0.10317015823540077,0.8615542494635694,0.8703389830508474,0.8683,7.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
47,0.04930363084521081,0.04573734618090093,0.10266397763667777,0.8542774512547813,0.8703389830508474,0.8717,6.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
48,0.04996408326867021,0.04556704736081883,0.09892962402136737,0.8625676432170181,0.8686440677966102,0.8699,7.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
49,0.04843121768701506,0.045739221295807514,0.09918882432771703,0.8600205166464608,0.8813559322033898,0.868,6.0,1.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
50,0.0511361696082562,0.045237721809232606,0.09735046631554131,0.8635133874428584,0.8745762711864407,0.8716,6.0,0.0,adam,0.001,4,100,20,20,100.0,None,FMNIST,CNN,/2024-03-19/17-58-42
1,0.1313389702873715,0.1220480675816536,0.3970238509883444,0.41783249393769817,0.7076271186440678,0.7114,14.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
2,0.09470697528351162,0.0845607739545405,0.23549447522860076,0.6469216417910447,0.7322033898305085,0.7391,11.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
3,0.08673413432187448,0.07631884922869503,0.19438632082119703,0.7027153121209294,0.7669491525423728,0.768,11.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
4,0.0678244329073419,0.06904931485392153,0.17372851095648903,0.7375734402685815,0.8194915254237288,0.7926,12.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
5,0.06558217330504272,0.06473858924573288,0.15945146079158884,0.7559701492537313,0.8144067796610169,0.7999,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
6,0.06830518268269756,0.06222108989339322,0.15018886701308956,0.7702500933184024,0.8076271186440678,0.8096,12.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
7,0.0627712226962134,0.05975121135413647,0.1447244110363038,0.7852010823924606,0.823728813559322,0.8258,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
8,0.056563076159080204,0.05630755211487413,0.1336695018207282,0.8008767021078157,0.85,0.8327,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
9,0.060737463303889,0.05470726961148903,0.13075402503987887,0.8051717699775952,0.8389830508474576,0.8402,13.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
