Epoch,Distributed Loss,Centralized Loss,Distributed Train Loss,Distributed Train Accuracy,Distributed Test Accuracy,Centralized Test Accuracy,Optimizer,Learning Rate,Batch Size,Clients,Sampled Clients Per Round,Evaluate Clients Per Round,LDA Alpha,BackPack Extension,Task,Model,Date
1,0.32027657275297206,0.2778188586950302,0.5733316542854925,0.122227201434013,0.1469387755102041,0.1719,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
2,0.3116361219055799,0.2712093402266502,0.5592749890410749,0.15371678439286915,0.1673469387755102,0.1867,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
3,0.3085649512252029,0.26062736443281176,0.5452920597807694,0.16610663082437277,0.17142857142857143,0.1992,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
4,0.2936169981956482,0.25097842482328414,0.5332456669714943,0.19049220764659716,0.23061224489795917,0.2698,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
5,0.2906068492908867,0.2483378715634346,0.5234031165366241,0.20463969516978595,0.2571428571428571,0.2723,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
6,0.27634184652445265,0.2411889701485634,0.5152482018333548,0.22382711902362556,0.3020408163265306,0.283,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
7,0.2784096236131629,0.23510174318552018,0.503314159662883,0.23871906841339155,0.2816326530612245,0.2992,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
8,0.2762604402036083,0.23266324685811995,0.4976837656151097,0.24523649405962789,0.2755102040816326,0.3155,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
9,0.2794383053876916,0.22920383356809615,0.49019158327476603,0.25467996861338416,0.2938775510204082,0.3314,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
10,0.26726761667095883,0.2220979436159134,0.48232023095322246,0.2721667974442327,0.3224489795918367,0.335,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
11,0.263947509502878,0.22180847792625427,0.47978279596135537,0.2751933639726488,0.32653061224489793,0.3533,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
12,0.2592454856755782,0.21623435144424438,0.47502634036178387,0.2787362760475017,0.36122448979591837,0.3697,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
13,0.2553234316864792,0.21356627510786055,0.46677453127716056,0.3024532317687913,0.3448979591836735,0.3815,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
14,0.2582015022939565,0.2090938842535019,0.4612059457234478,0.30814931061540185,0.363265306122449,0.3927,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
15,0.24627545585437696,0.20762534343600272,0.4578993084715841,0.3199955167002914,0.40408163265306124,0.4026,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
16,0.25086477119095474,0.20560940756201745,0.45255151711031877,0.3292983635956064,0.3408163265306122,0.4013,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
17,0.2396216207621049,0.20299336483478547,0.4485796428235753,0.3315028577832568,0.363265306122449,0.406,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
18,0.23650053447606612,0.2002204193174839,0.4396480893557205,0.3459556352229442,0.4204081632653061,0.4168,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
19,0.24100405658994403,0.19693240191936492,0.43865137833327483,0.3527105734767025,0.39591836734693875,0.4238,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
20,0.23772948396449187,0.19583818994164467,0.4350322592695367,0.35205110961667785,0.4142857142857143,0.4324,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
21,0.22878478473546554,0.1933145588338375,0.4318410970993894,0.3561259948436274,0.40408163265306124,0.4343,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
